Trial adaptor_type coaxial_lum test_lum match_lum flank_lum test_loc grating_ori response_time match_initial adaptor_shift
0 parallel 0.45 0.5 0.478732022596 0.55 2 vertical 18.4393191338 0.408732022596 19
1 parallel 0.55 0.52 0.442115673928 0.45 2 vertical 19.8005468845 0.387115673928 -19
2 parallel 0.55 0.52 0.411513077045 0.45 1 vertical 19.8091459274 0.366513077045 -19
3 parallel 0.45 0.48 0.430391074563 0.55 0 horizontal 24.840056181 0.385391074563 -19
4 none 0.45 0.5 0.466030036517 0.55 2 vertical 18.6861000061 0.456030036517 0
5 parallel 0.55 0.52 0.470040431079 0.45 0 horizontal 37.9576370716 0.410040431079 -19
6 orthogonal 0.55 0.52 0.483214564077 0.45 0 vertical 30.1952090263 0.483214564077 -19
7 none 0.55 0.5 0.48966228589 0.55 1 vertical 32.0092468262 0.48466228589 0
8 orthogonal 0.45 0.5 0.463949008568 0.55 3 vertical 18.9327449799 0.398949008568 -19
9 orthogonal 0.55 0.52 0.452196031668 0.45 3 vertical 23.4749929905 0.397196031668 19
10 none 0.55 0.5 0.518541464853 0.55 0 vertical 25.219189167 0.493541464853 0
11 parallel 0.45 0.5 0.447362702688 0.55 0 horizontal 25.2944970131 0.392362702688 -19
12 none 0.45 0.48 0.463024601347 0.45 3 vertical 30.6453959942 0.428024601347 0
13 none 0.45 0.52 0.46549156029 0.45 3 vertical 24.9149329662 0.48549156029 0
14 orthogonal 0.55 0.52 0.522065460193 0.45 1 vertical 31.2783927917 0.427065460193 0
15 parallel 0.45 0.48 0.469208434132 0.55 3 horizontal 18.5176410675 0.464208434132 19
16 parallel 0.45 0.48 0.460559326864 0.55 3 horizontal 28.9809520245 0.470559326864 0
17 none 0.45 0.48 0.470176389866 0.45 1 vertical 30.736784935 0.380176389866 0
18 none 0.55 0.48 0.440823884105 0.45 0 horizontal 43.6660680771 0.330823884105 0
19 orthogonal 0.45 0.5 0.43640338892 0.55 1 horizontal 39.1100170612 0.36140338892 0
20 none 0.45 0.5 0.442339357158 0.55 2 horizontal 42.5253279209 0.392339357158 0
21 parallel 0.55 0.48 0.422553626747 0.45 0 vertical 48.175909996 0.347553626747 -19
22 parallel 0.45 0.5 0.456161276532 0.55 2 horizontal 42.9318959713 0.376161276532 -19
23 none 0.55 0.48 0.40515071574 0.45 1 vertical 35.0708730221 0.31515071574 0
24 parallel 0.55 0.5 0.41512110219 0.45 1 vertical 37.3757810593 0.36012110219 -19
25 parallel 0.55 0.52 0.4876911981 0.45 2 horizontal 30.9269208908 0.4226911981 0
26 parallel 0.45 0.48 0.421773116359 0.55 1 vertical 36.8414170742 0.401773116359 -19
27 parallel 0.45 0.52 0.484735812622 0.55 3 vertical 30.9330821037 0.439735812622 -19
28 parallel 0.45 0.48 0.45487078131 0.55 3 vertical 32.5857498646 0.31487078131 0
29 orthogonal 0.45 0.48 0.472746056654 0.55 1 horizontal 24.8545749187 0.392746056654 19
30 none 0.45 0.5 0.472894303849 0.45 3 vertical 13.0548641682 0.432894303849 0
31 none 0.45 0.5 0.47712808372 0.45 0 horizontal 43.5817060471 0.41712808372 0
32 none 0.45 0.5 0.456080422438 0.55 3 horizontal 25.1845571995 0.351080422438 0
33 orthogonal 0.55 0.48 0.478775157138 0.45 3 vertical 18.9836258888 0.458775157138 0
34 orthogonal 0.55 0.48 0.439489608998 0.45 3 vertical 24.9217128754 0.399489608998 19
35 none 0.45 0.5 0.455298549651 0.45 1 vertical 61.728000164 0.480298549651 0
36 orthogonal 0.55 0.48 0.421638245203 0.45 0 vertical 18.6884670258 0.401638245203 -19
37 orthogonal 0.45 0.48 0.480555697795 0.55 2 horizontal 24.536331892 0.485555697795 0
38 orthogonal 0.45 0.48 0.459281691476 0.55 3 horizontal 26.1113390923 0.479281691476 -19
