Trial adaptor_type coaxial_lum test_lum match_lum flank_lum test_loc grating_ori response_time match_initial adaptor_shift
0 orthogonal 0.55 0.5 0.517211220365 0.45 0 vertical 19.3167948723 0.442211220365 0
1 parallel 0.55 0.52 0.528669984927 0.45 3 vertical 13.7172920704 0.478669984927 19
2 none 0.55 0.52 0.499121944744 0.45 1 vertical 14.4160311222 0.349121944744 0
3 orthogonal 0.55 0.48 0.477720171285 0.45 2 horizontal 36.9173679352 0.357720171285 -19
4 none 0.45 0.5 0.509603108553 0.55 3 horizontal 13.1173219681 0.459603108553 0
5 none 0.45 0.5 0.527707033394 0.45 3 vertical 19.2055978775 0.427707033394 0
6 none 0.55 0.52 0.521554662402 0.45 0 vertical 14.0476500988 0.321554662402 0
7 parallel 0.55 0.5 0.450445664716 0.45 0 horizontal 19.705188036 0.300445664716 19
8 orthogonal 0.55 0.48 0.467250666927 0.45 3 vertical 19.1485741138 0.442250666927 0
9 orthogonal 0.45 0.52 0.526521662033 0.55 3 vertical 25.2019798756 0.326521662033 -19
10 orthogonal 0.45 0.52 0.466619265942 0.55 0 horizontal 13.0956070423 0.316619265942 0
11 parallel 0.55 0.52 0.516525905577 0.45 2 vertical 18.7869930267 0.316525905577 0
12 none 0.45 0.5 0.502687687269 0.55 3 vertical 19.1641318798 0.377687687269 0
13 none 0.55 0.52 0.505864015593 0.55 0 vertical 18.6770560741 0.330864015593 0
14 parallel 0.55 0.5 0.50711381408 0.45 3 horizontal 14.2992818356 0.33211381408 0
15 none 0.45 0.48 0.452634506116 0.45 3 horizontal 7.59227085114 0.302634506116 0
16 parallel 0.55 0.5 0.541083415418 0.45 1 horizontal 21.6606838703 0.496083415418 0
17 orthogonal 0.45 0.5 0.544330770685 0.55 0 horizontal 13.2105000019 0.319330770685 0
18 orthogonal 0.55 0.5 0.515958056398 0.45 3 vertical 13.7770340443 0.440958056398 -19
19 orthogonal 0.45 0.48 0.463464395525 0.55 2 vertical 26.4122979641 0.313464395525 0
20 parallel 0.45 0.5 0.544979232304 0.55 1 vertical 25.2607159615 0.419979232304 0
21 none 0.45 0.5 0.521469755746 0.55 2 vertical 13.5388560295 0.446469755746 0
22 none 0.55 0.48 0.475839341432 0.45 2 horizontal 13.2130970955 0.425839341432 0
23 none 0.55 0.48 0.471191291022 0.45 3 horizontal 18.8769979477 0.486191291022 0
24 parallel 0.45 0.52 0.538266624889 0.55 2 vertical 19.8757100105 0.443266624889 19
25 orthogonal 0.45 0.48 0.515285154172 0.55 3 vertical 13.2378969193 0.390285154172 -19
26 orthogonal 0.45 0.52 0.513227989145 0.55 2 horizontal 13.6001529694 0.413227989145 0
27 orthogonal 0.55 0.52 0.531969002299 0.45 0 horizontal 25.0032858849 0.356969002299 19
28 parallel 0.55 0.52 0.535763397128 0.45 0 horizontal 32.8537089825 0.310763397128 -19
29 parallel 0.45 0.52 0.557189165324 0.55 2 vertical 18.9108650684 0.482189165324 0
30 orthogonal 0.45 0.52 0.564337140409 0.55 2 vertical 13.026914835 0.464337140409 19
31 none 0.45 0.52 0.564900701618 0.55 1 vertical 31.0108129978 0.399900701618 0
32 none 0.55 0.5 0.496049779324 0.45 1 vertical 18.8251128197 0.416049779324 0
33 none 0.55 0.48 0.509782446923 0.45 0 horizontal 12.9142830372 0.454782446923 0
34 orthogonal 0.45 0.48 0.511655261298 0.55 3 horizontal 61.6553211212 0.386655261298 -19
35 orthogonal 0.55 0.48 0.473566736237 0.45 1 vertical 20.9896168709 0.433566736237 -19
36 parallel 0.45 0.48 0.501026851779 0.55 0 vertical 52.5929288864 0.451026851779 -19
37 orthogonal 0.55 0.48 0.491785285471 0.45 2 horizontal 18.6568131447 0.331785285471 0
38 parallel 0.45 0.5 0.549310853989 0.55 3 vertical 18.9427809715 0.334310853989 0
39 none 0.45 0.5 0.535265017816 0.55 1 vertical 30.7361571789 0.465265017816 0
40 parallel 0.45 0.52 0.531734475146 0.55 3 vertical 13.2433819771 0.406734475146 0
41 none 0.55 0.5 0.511159922714 0.45 3 vertical 52.3944671154 0.486159922714 0
42 orthogonal 0.55 0.52 0.589298805721 0.45 2 vertical 14.4671068192 0.439298805721 0
43 parallel 0.45 0.52 0.558795689562 0.55 2 horizontal 30.7635509968 0.443795689562 -19
44 parallel 0.45 0.48 0.495816015415 0.55 3 vertical 19.2678499222 0.350816015415 19
45 none 0.55 0.52 0.577359067747 0.45 2 vertical 42.843528986 0.387359067747 0
46 parallel 0.55 0.5 0.499877301912 0.45 3 vertical 19.4649209976 0.464877301912 0
47 none 0.45 0.48 0.508634644555 0.55 2 vertical 37.8180069923 0.448634644555 0
48 parallel 0.55 0.5 0.519904844953 0.45 2 vertical 34.9761230946 0.414904844953 19
49 none 0.55 0.48 0.524749370221 0.55 3 horizontal 24.5897819996 0.469749370221 0
50 none 0.45 0.52 0.546161071168 0.55 0 horizontal 30.9672768116 0.326161071168 0
51 parallel 0.45 0.5 0.517266078584 0.55 2 horizontal 25.3563430309 0.322266078584 0
52 parallel 0.45 0.52 0.530135169299 0.55 1 vertical 30.7311329842 0.365135169299 -19
53 parallel 0.45 0.5 0.516015428504 0.55 0 horizontal 27.4575500488 0.441015428504 19
54 orthogonal 0.55 0.52 0.515746753039 0.45 1 vertical 19.7647647858 0.340746753039 0
55 parallel 0.45 0.52 0.537095856833 0.55 0 vertical 24.4418928623 0.322095856833 0
56 none 0.45 0.52 0.552936515553 0.55 2 horizontal 25.6280379295 0.397936515553 0
57 none 0.55 0.5 0.515287888708 0.45 2 vertical 54.645357132 0.465287888708 0
58 orthogonal 0.55 0.5 0.518334036137 0.45 1 vertical 37.9653689861 0.383334036137 0
59 parallel 0.45 0.48 0.49552184827 0.55 2 vertical 24.8896920681 0.37052184827 0
60 orthogonal 0.45 0.5 0.501037291525 0.55 3 horizontal 54.5674951077 0.416037291525 0
61 parallel 0.55 0.52 0.550091991288 0.45 0 vertical 48.9106309414 0.365091991288 19
62 none 0.55 0.5 0.511902719838 0.45 3 horizontal 30.9425680637 0.446902719838 0
63 orthogonal 0.45 0.48 0.501448432728 0.55 1 horizontal 24.9787180424 0.301448432728 0
64 parallel 0.55 0.5 0.531293964866 0.45 1 vertical 13.3472578526 0.416293964866 -19
65 orthogonal 0.45 0.5 0.527641875681 0.55 1 vertical 18.3006742001 0.372641875681 0
66 none 0.45 0.48 0.478265858267 0.45 2 horizontal 6.91444301605 0.353265858267 0
67 none 0.45 0.5 0.50106570083 0.45 1 vertical 6.96735191345 0.42606570083 0
68 none 0.55 0.5 0.519074590266 0.45 0 vertical 18.7487199306 0.404074590266 0
69 none 0.45 0.48 0.502824720238 0.45 2 vertical 24.5340979099 0.367824720238 0
70 none 0.55 0.48 0.524408070138 0.55 1 vertical 18.7059340477 0.454408070138 0
71 orthogonal 0.55 0.5 0.532359501123 0.45 3 vertical 13.0273859501 0.482359501123 0
72 none 0.55 0.48 0.492726652247 0.55 3 vertical 13.2321429253 0.372726652247 0
73 parallel 0.45 0.48 0.487660283767 0.55 1 vertical 25.5289700031 0.422660283767 19
74 parallel 0.55 0.48 0.472294939503 0.45 1 horizontal 19.0472300053 0.437294939503 0
75 none 0.55 0.5 0.512410801208 0.45 2 horizontal 30.2167201042 0.497410801208 0
76 parallel 0.45 0.5 0.497724026139 0.55 3 horizontal 19.3288798332 0.382724026139 0
