Trial adaptor_type coaxial_lum test_lum match_lum flank_lum test_loc grating_ori response_time match_initial adaptor_shift
0 parallel 0.45 0.52 0.507077935106 0.55 2 horizontal 14.4262869358 0.432077935106 0
1 orthogonal 0.55 0.5 0.480391536362 0.45 2 vertical 21.131964922 0.455391536362 0
2 orthogonal 0.55 0.48 0.491715445426 0.45 1 vertical 8.94934892654 0.466715445426 19
3 none 0.55 0.5 0.402712415927 0.45 0 horizontal 29.0203418732 0.327712415927 0
4 none 0.45 0.5 0.460326937055 0.45 2 vertical 30.7825419903 0.335326937055 0
5 parallel 0.55 0.52 0.514305009083 0.45 3 horizontal 16.6920981407 0.439305009083 0
6 none 0.45 0.5 0.494059939217 0.55 2 vertical 19.1552791595 0.469059939217 0
7 parallel 0.55 0.48 0.434154403668 0.45 3 vertical 13.7081110477 0.409154403668 0
8 none 0.55 0.5 0.403851124853 0.45 3 vertical 19.6614949703 0.353851124853 0
9 none 0.55 0.5 0.440269886894 0.45 1 vertical 27.1049308777 0.340269886894 0
10 parallel 0.45 0.5 0.495363061225 0.55 3 vertical 7.6641330719 0.495363061225 19
11 orthogonal 0.45 0.52 0.506743760886 0.55 3 vertical 14.9531040192 0.356743760886 0
12 none 0.55 0.5 0.445011305815 0.55 3 vertical 16.084441185 0.370011305815 0
13 none 0.45 0.5 0.454430899256 0.45 3 horizontal 20.1137320995 0.329430899256 0
14 none 0.55 0.5 0.496170965369 0.45 2 vertical 18.9513289928 0.446170965369 0
15 none 0.55 0.52 0.492735407094 0.45 3 horizontal 13.4943268299 0.467735407094 0
16 orthogonal 0.55 0.48 0.448990127461 0.45 3 horizontal 19.5532450676 0.373990127461 19
17 parallel 0.55 0.48 0.441254661338 0.45 2 vertical 6.86730289459 0.441254661338 0
18 none 0.55 0.5 0.480642125999 0.55 0 horizontal 7.21544313431 0.480642125999 0
19 parallel 0.45 0.48 0.460945107605 0.55 2 vertical 13.5410511494 0.360945107605 -19
20 parallel 0.55 0.5 0.447337215439 0.45 3 vertical 13.7184951305 0.322337215439 -19
21 parallel 0.55 0.5 0.456352490093 0.45 3 horizontal 13.8429780006 0.306352490093 19
22 none 0.55 0.52 0.496481260837 0.55 1 horizontal 14.1617209911 0.421481260837 0
