Trial adaptor_type coaxial_lum test_lum match_lum flank_lum test_loc grating_ori response_time match_initial adaptor_shift
0 orthogonal 0.45 0.5 0.49445414856 0.55 1 horizontal 42.7489271164 0.38945414856 0
1 orthogonal 0.55 0.5 0.463840108044 0.45 0 horizontal 56.6307809353 0.438840108044 -19
2 orthogonal 0.45 0.5 0.435966100881 0.55 2 horizontal 33.2237980366 0.370966100881 0
3 parallel 0.55 0.52 0.460597974019 0.45 0 vertical 33.6766350269 0.405597974019 0
4 parallel 0.55 0.52 0.484425628565 0.45 1 vertical 32.5766339302 0.429425628565 -19
5 orthogonal 0.55 0.5 0.483400295423 0.45 1 vertical 25.3967440128 0.463400295423 0
6 parallel 0.55 0.5 0.478284848856 0.45 1 vertical 24.577409029 0.468284848856 19
7 none 0.55 0.48 0.451514175567 0.45 3 horizontal 49.9408400059 0.341514175567 0
8 none 0.55 0.5 0.464445956934 0.55 1 horizontal 25.7930998802 0.439445956934 0
9 parallel 0.55 0.52 0.513408204184 0.45 3 vertical 19.4300529957 0.493408204184 19
10 none 0.55 0.48 0.466024370036 0.45 3 vertical 49.438092947 0.341024370036 0
11 none 0.45 0.5 0.511597480011 0.45 2 horizontal 37.3175940514 0.451597480011 0
12 none 0.45 0.5 0.494635091687 0.45 2 vertical 42.8991498947 0.359635091687 0
13 none 0.55 0.5 0.46933774352 0.45 0 horizontal 32.7111902237 0.45933774352 0
14 parallel 0.55 0.52 0.498234205845 0.45 1 horizontal 55.635299921 0.318234205845 19
15 none 0.45 0.5 0.515157385314 0.45 0 vertical 55.9888589382 0.430157385314 0
16 none 0.45 0.52 0.539159354643 0.55 1 horizontal 60.984675169 0.404159354643 0
17 none 0.55 0.5 0.50128905227 0.45 3 horizontal 25.6534690857 0.37628905227 0
18 none 0.45 0.48 0.483048903694 0.55 3 horizontal 31.1940169334 0.323048903694 0
19 orthogonal 0.45 0.52 0.536945110852 0.55 3 horizontal 43.7818570137 0.451945110852 -19
