Trial adaptor_type coaxial_lum test_lum match_lum flank_lum test_loc grating_ori response_time match_initial adaptor_shift
105 parallel 0.45 0.52 0.535409910606 0.55 3 horizontal 20.7580780983 0.485409910606 19
106 parallel 0.55 0.52 0.464423678278 0.45 1 vertical 25.2753920555 0.394423678278 0
107 none 0.55 0.5 0.474740779144 0.45 2 vertical 25.819630146 0.399740779144 0
108 none 0.55 0.52 0.44386433233 0.55 0 horizontal 25.7898180485 0.31386433233 0
109 none 0.55 0.48 0.436915071175 0.55 3 horizontal 38.1882371902 0.316915071175 0
110 parallel 0.45 0.48 0.508122923153 0.55 1 horizontal 37.6391689777 0.343122923153 19
111 parallel 0.55 0.5 0.45009962637 0.45 1 horizontal 20.1797540188 0.37509962637 0
112 orthogonal 0.55 0.52 0.45832626545 0.45 3 horizontal 33.5463590622 0.45332626545 0
113 none 0.55 0.48 0.427082818606 0.55 2 vertical 31.1320619583 0.332082818606 0
114 orthogonal 0.45 0.52 0.514422614901 0.55 0 horizontal 31.9106619358 0.309422614901 -19
115 none 0.55 0.48 0.47850267254 0.55 0 vertical 38.2933380604 0.42350267254 0
116 orthogonal 0.45 0.48 0.49273398362 0.55 3 vertical 25.4564230442 0.38773398362 -19
117 orthogonal 0.45 0.52 0.532927526397 0.55 3 vertical 37.3709990978 0.342927526397 -19
118 parallel 0.45 0.5 0.513168342613 0.55 0 vertical 26.4614799023 0.308168342613 19
119 orthogonal 0.45 0.5 0.495139561285 0.55 1 vertical 20.8719170094 0.485139561285 0
120 orthogonal 0.45 0.52 0.49509851505 0.55 1 vertical 21.3893120289 0.34509851505 0
121 none 0.45 0.5 0.507775270642 0.45 0 horizontal 31.4686779976 0.352775270642 0
122 orthogonal 0.45 0.52 0.500238614015 0.55 2 horizontal 25.5937318802 0.495238614015 0
123 parallel 0.55 0.48 0.455026276873 0.45 2 vertical 37.6179389954 0.300026276873 -19
124 orthogonal 0.55 0.52 0.47421989684 0.45 1 horizontal 33.5434570312 0.32921989684 19
125 orthogonal 0.55 0.48 0.472310079488 0.45 3 horizontal 25.0435678959 0.452310079488 19
126 none 0.45 0.52 0.539185399431 0.55 0 vertical 25.1204299927 0.424185399431 0
127 parallel 0.55 0.48 0.464371214027 0.45 1 vertical 25.1853010654 0.394371214027 -19
128 none 0.55 0.48 0.484713302008 0.55 1 horizontal 19.7838020325 0.429713302008 0
129 parallel 0.55 0.48 0.438043935065 0.45 1 horizontal 43.9404480457 0.343043935065 0
130 parallel 0.45 0.5 0.525384755837 0.55 3 horizontal 31.0322580338 0.380384755837 0
131 orthogonal 0.55 0.48 0.482844797763 0.45 3 vertical 18.921216011 0.452844797763 0
132 parallel 0.45 0.5 0.525533505957 0.55 2 horizontal 19.6638770103 0.375533505957 0
133 orthogonal 0.55 0.48 0.426777964154 0.45 0 horizontal 38.3440620899 0.301777964154 19
134 parallel 0.45 0.5 0.523446034434 0.55 3 horizontal 31.4659190178 0.393446034434 -19
135 orthogonal 0.45 0.48 0.46769193404 0.55 3 vertical 25.3332560062 0.49269193404 0
136 parallel 0.55 0.52 0.45729669705 0.45 0 horizontal 30.8836109638 0.33229669705 0
137 parallel 0.45 0.5 0.521535274121 0.55 1 vertical 24.9677958488 0.481535274121 0
138 orthogonal 0.45 0.5 0.526750457681 0.55 3 horizontal 18.6143200397 0.466750457681 19
139 orthogonal 0.45 0.48 0.51248021722 0.55 3 horizontal 24.5245730877 0.47248021722 -19
140 none 0.45 0.48 0.495860674305 0.55 1 horizontal 31.3012912273 0.420860674305 0
141 parallel 0.55 0.48 0.450024493134 0.45 1 vertical 25.0108151436 0.410024493134 0
142 orthogonal 0.55 0.52 0.506533562341 0.45 0 horizontal 25.2428269386 0.456533562341 0
143 parallel 0.55 0.5 0.452708494766 0.45 0 vertical 25.1883640289 0.447708494766 0
144 none 0.45 0.52 0.54894303844 0.45 1 vertical 30.4410989285 0.46894303844 0
145 parallel 0.45 0.48 0.541701787679 0.55 1 vertical 19.0141131878 0.481701787679 -19
146 none 0.55 0.5 0.464487094173 0.45 2 horizontal 24.863214016 0.399487094173 0
147 parallel 0.45 0.52 0.547055679163 0.55 1 horizontal 31.9277579784 0.352055679163 19
148 parallel 0.55 0.5 0.465002868792 0.45 0 vertical 13.4366500378 0.440002868792 -19
149 none 0.55 0.5 0.496237217145 0.45 1 horizontal 37.8602340221 0.346237217145 0
150 none 0.45 0.5 0.525796150801 0.55 0 vertical 31.5114848614 0.425796150801 0
