Trial adaptor_type coaxial_lum test_lum match_lum flank_lum test_loc grating_ori response_time match_initial adaptor_shift
107 orthogonal 0.45 0.52 0.488033855074 0.55 2 horizontal 25.5318739414 0.443033855074 0
108 none 0.55 0.5 0.558845582118 0.55 0 vertical 20.233727932 0.408845582118 0
109 parallel 0.45 0.48 0.489294932184 0.55 0 vertical 37.040266037 0.419294932184 0
110 none 0.55 0.48 0.480674231319 0.55 1 vertical 18.8662729263 0.350674231319 0
111 parallel 0.45 0.5 0.524887601709 0.55 2 vertical 24.6139991283 0.424887601709 19
112 parallel 0.55 0.5 0.485535150684 0.45 3 horizontal 26.0816149712 0.410535150684 -19
113 none 0.45 0.52 0.513145385925 0.45 1 vertical 20.916105032 0.313145385925 0
114 parallel 0.55 0.48 0.438869946472 0.45 0 horizontal 24.9548168182 0.443869946472 0
115 none 0.55 0.5 0.477559372629 0.45 3 horizontal 12.7587590218 0.402559372629 0
116 orthogonal 0.55 0.5 0.48398947896 0.45 1 vertical 13.7518880367 0.30898947896 0
117 orthogonal 0.55 0.5 0.503030414897 0.45 3 horizontal 25.2290439606 0.493030414897 19
118 parallel 0.45 0.48 0.490000431261 0.55 3 vertical 14.3699848652 0.440000431261 0
119 orthogonal 0.55 0.48 0.489026881417 0.45 3 vertical 19.9990069866 0.379026881417 0
120 orthogonal 0.45 0.52 0.494210934872 0.55 2 vertical 13.8376171589 0.439210934872 0
121 parallel 0.45 0.5 0.519006218342 0.55 3 horizontal 13.0434582233 0.484006218342 -19
122 orthogonal 0.55 0.5 0.518741806969 0.45 2 horizontal 27.206069231 0.398741806969 0
123 none 0.55 0.5 0.487526954245 0.45 1 vertical 12.3983340263 0.487526954245 0
124 parallel 0.55 0.5 0.480385009751 0.45 0 vertical 15.127024889 0.375385009751 -19
125 orthogonal 0.55 0.5 0.529544530293 0.45 3 horizontal 20.0179390907 0.434544530293 0
126 orthogonal 0.55 0.52 0.549316820235 0.45 2 horizontal 25.9872331619 0.394316820235 0
127 orthogonal 0.55 0.48 0.473246935557 0.45 3 vertical 24.4089710712 0.473246935557 19
128 none 0.45 0.5 0.494617842558 0.55 2 horizontal 12.1749520302 0.484617842558 0
129 none 0.55 0.52 0.521716184261 0.45 0 vertical 32.5161349773 0.431716184261 0
130 orthogonal 0.45 0.52 0.517059282825 0.55 1 vertical 20.4438040257 0.352059282825 19
131 orthogonal 0.45 0.52 0.539349540488 0.55 1 horizontal 13.1838431358 0.444349540488 19
132 parallel 0.45 0.48 0.473571125813 0.55 0 vertical 12.6294999123 0.348571125813 -19
133 none 0.55 0.48 0.499026438182 0.45 2 horizontal 13.8228549957 0.454026438182 0
134 orthogonal 0.45 0.52 0.540367609165 0.55 1 vertical 27.1627039909 0.390367609165 0
135 parallel 0.45 0.5 0.514376580522 0.55 1 vertical 9.35099697113 0.454376580522 -19
136 none 0.45 0.48 0.489778857155 0.45 2 vertical 12.3762149811 0.464778857155 0
137 none 0.55 0.5 0.508227579397 0.45 0 vertical 12.3990409374 0.343227579397 0
138 none 0.45 0.48 0.480301992358 0.55 1 horizontal 18.7904789448 0.300301992358 0
139 orthogonal 0.45 0.48 0.447364291994 0.55 2 vertical 20.3085069656 0.422364291994 0
140 none 0.55 0.5 0.529075842927 0.55 1 vertical 12.6624159813 0.454075842927 0
141 parallel 0.45 0.52 0.535320249087 0.55 3 vertical 13.5213840008 0.435320249087 -19
142 none 0.45 0.5 0.496859552327 0.55 3 horizontal 14.1492950916 0.436859552327 0
143 parallel 0.55 0.52 0.497447362323 0.45 3 vertical 12.9423880577 0.482447362323 -19
144 orthogonal 0.55 0.5 0.487973047809 0.45 2 horizontal 13.8793609142 0.337973047809 -19
145 none 0.45 0.48 0.529327660803 0.55 0 horizontal 25.0322511196 0.324327660803 0
146 none 0.55 0.5 0.523003033552 0.55 1 horizontal 6.94763088226 0.398003033552 0
147 none 0.55 0.5 0.520437800223 0.45 1 horizontal 12.6356470585 0.395437800223 0
148 orthogonal 0.45 0.52 0.497720696219 0.55 0 horizontal 18.4088041782 0.302720696219 0
149 parallel 0.45 0.52 0.542593542072 0.55 2 horizontal 19.5240840912 0.382593542072 0
150 none 0.45 0.5 0.506014323259 0.55 0 horizontal 18.7464740276 0.426014323259 0
151 none 0.55 0.5 0.523355844702 0.45 3 vertical 19.44830513 0.313355844702 0
152 orthogonal 0.55 0.48 0.49658250666 0.45 2 vertical 30.8473880291 0.44658250666 -19
153 orthogonal 0.45 0.5 0.510434311702 0.55 1 vertical 13.0741741657 0.440434311702 0
