Trial adaptor_type coaxial_lum test_lum match_lum flank_lum test_loc grating_ori response_time match_initial adaptor_shift
0 parallel 0.45 0.5 0.478895795301 0.55 1 vertical 31.1501998901 0.353895795301 0
1 none 0.55 0.48 0.409484094278 0.45 3 horizontal 20.9162230492 0.339484094278 0
2 parallel 0.45 0.5 0.484318928494 0.55 0 vertical 30.3466539383 0.339318928494 0
3 none 0.45 0.48 0.467725986141 0.55 0 vertical 28.4616539478 0.377725986141 0
4 orthogonal 0.55 0.5 0.450514346301 0.45 1 horizontal 25.8755390644 0.330514346301 19
5 parallel 0.55 0.48 0.490116780354 0.45 3 horizontal 6.90002703667 0.490116780354 0
6 orthogonal 0.45 0.48 0.460900275445 0.55 0 vertical 12.716725111 0.335900275445 0
7 none 0.55 0.5 0.48396016179 0.55 2 horizontal 13.5169210434 0.43396016179 0
8 none 0.45 0.52 0.53670886155 0.55 2 vertical 12.6417098045 0.36670886155 0
9 orthogonal 0.45 0.52 0.487999123697 0.55 3 horizontal 12.5493910313 0.352999123697 -19
10 none 0.55 0.52 0.503520461122 0.45 3 vertical 18.7424759865 0.353520461122 0
11 none 0.55 0.52 0.522344299358 0.55 1 horizontal 15.2464008331 0.357344299358 0
12 orthogonal 0.55 0.52 0.484898246033 0.45 0 horizontal 18.8783521652 0.309898246033 19
13 parallel 0.55 0.5 0.463803651704 0.45 0 vertical 13.6013338566 0.413803651704 0
14 parallel 0.55 0.52 0.476947656581 0.45 1 horizontal 24.8894491196 0.301947656581 0
15 parallel 0.55 0.52 0.484518909791 0.45 1 horizontal 13.7163360119 0.399518909791 19
16 parallel 0.45 0.52 0.508797227511 0.55 3 vertical 21.4834399223 0.368797227511 0
17 none 0.45 0.52 0.477816915605 0.55 1 horizontal 19.2618150711 0.402816915605 0
18 none 0.45 0.48 0.443249537988 0.55 2 vertical 12.5057580471 0.368249537988 0
19 none 0.45 0.5 0.518314428434 0.45 3 horizontal 6.70373106003 0.468314428434 0
20 parallel 0.55 0.5 0.46096178085 0.45 1 vertical 14.3737239838 0.33596178085 -19
21 orthogonal 0.45 0.5 0.548736827805 0.55 1 vertical 18.9530301094 0.313736827805 19
22 orthogonal 0.55 0.52 0.56963033433 0.45 3 horizontal 31.2070970535 0.46963033433 0
23 none 0.55 0.48 0.416115422978 0.55 0 horizontal 6.56674790382 0.366115422978 0
24 none 0.55 0.52 0.491715910496 0.55 0 vertical 16.7230029106 0.401715910496 0
25 orthogonal 0.55 0.5 0.499170200215 0.45 1 vertical 13.0378060341 0.399170200215 -19
26 orthogonal 0.55 0.48 0.461264116176 0.45 2 horizontal 20.8360049725 0.336264116176 0
27 parallel 0.45 0.52 0.523990196197 0.55 3 horizontal 12.5347249508 0.498990196197 0
28 none 0.55 0.5 0.490456013397 0.45 2 vertical 13.1565499306 0.345456013397 0
29 parallel 0.55 0.5 0.485134510119 0.45 2 horizontal 24.6618759632 0.365134510119 0
30 parallel 0.55 0.52 0.521503204409 0.45 0 horizontal 27.1826860905 0.336503204409 19
31 orthogonal 0.55 0.48 0.495123574048 0.45 1 horizontal 18.2591848373 0.460123574048 0
32 none 0.45 0.52 0.484905110676 0.45 3 vertical 18.0673348904 0.309905110676 0
33 none 0.55 0.48 0.493165640636 0.55 2 horizontal 6.57520103455 0.493165640636 0
34 parallel 0.55 0.48 0.489675996918 0.45 2 horizontal 12.3231408596 0.459675996918 19
35 orthogonal 0.55 0.5 0.489878672189 0.45 0 horizontal 18.5338318348 0.314878672189 -19
36 none 0.45 0.5 0.473792789942 0.45 0 horizontal 12.9516510963 0.348792789942 0
37 parallel 0.45 0.52 0.473946650764 0.55 3 horizontal 15.1641681194 0.313946650764 19
38 none 0.55 0.52 0.504472052247 0.55 1 vertical 19.3434290886 0.379472052247 0
39 none 0.45 0.52 0.496993481457 0.45 1 horizontal 13.4823749065 0.321993481457 0
40 orthogonal 0.45 0.5 0.47565032933 0.55 2 horizontal 12.4497787952 0.45065032933 -19
41 none 0.45 0.52 0.497277751473 0.45 0 vertical 13.8336508274 0.307277751473 0
42 orthogonal 0.45 0.48 0.472215887197 0.55 2 horizontal 18.8582408428 0.397215887197 0
43 orthogonal 0.55 0.52 0.429577469074 0.45 1 horizontal 12.8029770851 0.364577469074 0
44 none 0.55 0.48 0.479022601016 0.55 2 vertical 15.6946828365 0.434022601016 0
45 orthogonal 0.55 0.52 0.482288666051 0.45 2 vertical 12.8776218891 0.382288666051 19
46 orthogonal 0.45 0.5 0.491304407053 0.55 0 vertical 20.110845089 0.366304407053 0
47 parallel 0.45 0.48 0.516348178198 0.55 2 vertical 12.9289338589 0.436348178198 0
48 orthogonal 0.55 0.48 0.480170463624 0.45 1 vertical 15.0554728508 0.370170463624 -19
49 parallel 0.45 0.5 0.463138405395 0.55 3 vertical 18.3220589161 0.338138405395 -19
50 orthogonal 0.45 0.52 0.505826927818 0.55 0 horizontal 13.6408979893 0.445826927818 -19
51 orthogonal 0.55 0.52 0.691243219096 0.45 3 horizontal 13.1101229191 0.466243219096 19
52 parallel 0.55 0.52 0.562060807094 0.45 3 horizontal 6.77593183517 0.487060807094 19
53 parallel 0.55 0.48 0.509836480734 0.45 1 horizontal 12.3026740551 0.464836480734 -19
54 none 0.45 0.52 0.506739198208 0.45 0 horizontal 6.70356702805 0.406739198208 0
55 orthogonal 0.55 0.52 0.478929059927 0.45 1 horizontal 19.4657449722 0.338929059927 19
56 orthogonal 0.55 0.52 0.500736322496 0.45 3 vertical 19.7809669971 0.415736322496 -19
57 parallel 0.45 0.52 0.515655167164 0.55 0 horizontal 14.69668293 0.425655167164 0
58 none 0.45 0.52 0.507669586977 0.55 0 horizontal 24.958480835 0.387669586977 0
59 none 0.55 0.48 0.476647388876 0.45 1 vertical 25.5484240055 0.371647388876 0
60 orthogonal 0.45 0.48 0.484701677398 0.55 1 vertical 26.3101148605 0.379701677398 -19
61 parallel 0.55 0.5 0.497733006039 0.45 3 vertical 13.504693985 0.472733006039 0
62 none 0.55 0.52 0.520348183378 0.45 2 vertical 12.548470974 0.320348183378 0
63 parallel 0.55 0.48 0.484529873866 0.45 3 vertical 6.43883490562 0.484529873866 19
64 orthogonal 0.55 0.5 0.542092839063 0.45 3 vertical 18.4094591141 0.437092839063 0
65 orthogonal 0.55 0.52 0.549170386825 0.45 0 horizontal 20.2493789196 0.489170386825 0
66 orthogonal 0.45 0.5 0.540349912233 0.55 0 horizontal 13.4086868763 0.420349912233 -19
67 orthogonal 0.45 0.52 0.513832573566 0.55 2 vertical 28.5025510788 0.313832573566 -19
68 parallel 0.55 0.52 0.50804823566 0.45 2 horizontal 20.9317030907 0.44304823566 0
69 none 0.45 0.5 0.511685388787 0.45 2 vertical 8.80260515213 0.486685388787 0
70 parallel 0.55 0.48 0.43636791592 0.45 2 vertical 19.1022181511 0.42636791592 19
71 parallel 0.45 0.52 0.519075569117 0.55 2 horizontal 14.0483338833 0.369075569117 -19
72 none 0.55 0.52 0.570219807268 0.55 3 vertical 7.42603087425 0.470219807268 0
73 parallel 0.45 0.5 0.514510182486 0.55 2 horizontal 8.85084199905 0.404510182486 0
74 none 0.45 0.48 0.477029002004 0.55 3 vertical 12.2993650436 0.432029002004 0
75 orthogonal 0.55 0.48 0.469794324925 0.45 2 horizontal 26.0776040554 0.384794324925 -19
76 none 0.45 0.48 0.539317871556 0.45 1 horizontal 19.357391119 0.329317871556 0
77 parallel 0.55 0.52 0.544919490888 0.45 3 horizontal 12.5872790813 0.484919490888 0
78 none 0.45 0.48 0.499745328912 0.45 3 vertical 12.5467569828 0.419745328912 0
79 orthogonal 0.55 0.48 0.516646642526 0.45 0 horizontal 19.5643892288 0.451646642526 0
80 orthogonal 0.45 0.5 0.499725573957 0.55 3 vertical 20.0325930119 0.439725573957 -19
81 parallel 0.55 0.5 0.519998333226 0.45 1 horizontal 30.7560508251 0.339998333226 -19
82 orthogonal 0.55 0.5 0.510130383393 0.45 0 horizontal 21.2347559929 0.460130383393 0
83 parallel 0.45 0.48 0.500851576256 0.55 3 horizontal 13.022739172 0.370851576256 0
84 orthogonal 0.45 0.52 0.599510212318 0.55 3 horizontal 19.0167210102 0.324510212318 0
85 orthogonal 0.55 0.48 0.464834214752 0.45 0 horizontal 14.8247461319 0.389834214752 19
86 orthogonal 0.45 0.52 0.682840688242 0.55 3 vertical 13.0762422085 0.482840688242 19
87 orthogonal 0.55 0.52 0.66765502689 0.45 1 vertical 20.370100975 0.44265502689 0
88 parallel 0.45 0.5 0.53480401213 0.55 0 horizontal 16.8168809414 0.43480401213 0
89 parallel 0.45 0.48 0.530697791184 0.55 0 horizontal 14.9715709686 0.410697791184 19
90 parallel 0.55 0.48 0.438366129253 0.45 3 vertical 14.1377389431 0.353366129253 0
91 none 0.55 0.48 0.554535236489 0.55 3 vertical 13.8584699631 0.494535236489 0
92 orthogonal 0.55 0.5 0.506446076872 0.45 3 vertical 26.6791231632 0.491446076872 -19
93 none 0.45 0.52 0.541800017675 0.55 2 horizontal 19.4794011116 0.466800017675 0
94 parallel 0.55 0.5 0.504997338789 0.45 0 horizontal 19.7800841331 0.474997338789 0
95 parallel 0.45 0.5 0.489084996522 0.55 0 vertical 13.770059824 0.369084996522 -19
96 parallel 0.45 0.52 0.532164874278 0.55 0 vertical 20.1147038937 0.402164874278 -19
97 orthogonal 0.45 0.48 0.470484046766 0.55 1 vertical 18.3757750988 0.395484046766 0
98 parallel 0.55 0.48 0.467390417472 0.45 2 vertical 12.6638059616 0.437390417472 0
99 parallel 0.55 0.52 0.530706814633 0.45 0 horizontal 18.7080960274 0.385706814633 0
100 orthogonal 0.55 0.52 0.507926355931 0.45 2 vertical 31.6836359501 0.332926355931 0
101 none 0.55 0.48 0.516575561972 0.55 3 horizontal 6.96955800056 0.441575561972 0
102 orthogonal 0.45 0.48 0.479976333118 0.55 2 horizontal 12.4624738693 0.354976333118 -19
103 parallel 0.55 0.48 0.506993020865 0.45 2 horizontal 12.8519868851 0.376993020865 0
104 none 0.45 0.52 0.51816898793 0.45 2 vertical 14.2725269794 0.36316898793 0
105 orthogonal 0.55 0.5 0.505653264707 0.45 0 vertical 19.0410029888 0.395653264707 -19
