Trial adaptor_type coaxial_lum test_lum match_lum flank_lum test_loc grating_ori response_time match_initial adaptor_shift
0 parallel 0.45 0.52 0.556014637492 0.55 1 horizontal 32.3943190575 0.466014637492 19
1 parallel 0.45 0.5 0.51523593008 0.55 1 vertical 38.5591540337 0.32023593008 0
2 none 0.45 0.52 0.540389970722 0.55 1 vertical 37.9816958904 0.395389970722 0
3 none 0.45 0.52 0.511933430084 0.45 0 horizontal 32.7213749886 0.426933430084 0
4 orthogonal 0.55 0.52 0.552462083044 0.45 3 horizontal 91.7876598835 0.432462083044 -19
5 parallel 0.55 0.52 0.572099439847 0.45 0 vertical 43.0547370911 0.347099439847 -19
6 parallel 0.55 0.5 0.49065595305 0.45 1 horizontal 37.3240380287 0.34065595305 -19
7 parallel 0.45 0.5 0.527857924219 0.55 0 horizontal 31.674216032 0.432857924219 -19
8 parallel 0.55 0.5 0.506478188511 0.45 3 horizontal 44.1603341103 0.401478188511 0
9 orthogonal 0.45 0.48 0.531952633988 0.55 2 horizontal 45.0408489704 0.456952633988 19
10 parallel 0.55 0.5 0.49305314357 0.45 0 horizontal 31.109634161 0.42805314357 0
11 orthogonal 0.55 0.5 0.483663313106 0.45 0 horizontal 50.3394980431 0.318663313106 19
12 orthogonal 0.55 0.52 0.523160126715 0.45 3 horizontal 80.0036299229 0.498160126715 0
13 orthogonal 0.45 0.52 0.523324728297 0.55 3 vertical 24.5291810036 0.448324728297 0
14 none 0.45 0.52 0.525548430055 0.55 3 vertical 31.650947094 0.325548430055 0
15 none 0.55 0.48 0.452824657777 0.55 1 vertical 24.8799619675 0.402824657777 0
16 orthogonal 0.55 0.5 0.48923378876 0.45 1 horizontal 37.8748350143 0.48923378876 -19
17 parallel 0.55 0.52 0.550549405003 0.45 3 horizontal 60.9149608612 0.425549405003 0
18 none 0.45 0.48 0.509648788184 0.55 1 vertical 26.2167329788 0.309648788184 0
19 none 0.45 0.52 0.538495504606 0.45 2 vertical 20.1860880852 0.438495504606 0
20 orthogonal 0.45 0.52 0.52763853156 0.55 1 vertical 51.1098270416 0.32763853156 -19
21 parallel 0.55 0.5 0.536238988648 0.45 2 vertical 20.1857719421 0.486238988648 0
22 none 0.55 0.5 0.521153329781 0.45 0 vertical 36.7040410042 0.451153329781 0
23 orthogonal 0.55 0.5 0.510835291531 0.45 2 horizontal 85.734443903 0.430835291531 0
24 parallel 0.45 0.48 0.508166076881 0.55 3 vertical 50.6892950535 0.433166076881 -19
25 orthogonal 0.45 0.52 0.556277722046 0.55 1 horizontal 49.2333848476 0.446277722046 0
26 orthogonal 0.45 0.48 0.510291959298 0.55 3 horizontal 67.0912489891 0.395291959298 0
27 orthogonal 0.45 0.52 0.554902481915 0.55 0 horizontal 55.2480390072 0.309902481915 -19
28 orthogonal 0.55 0.52 0.542107464271 0.45 1 horizontal 48.8669409752 0.372107464271 0
29 parallel 0.55 0.52 0.545107861666 0.45 1 horizontal 31.0919890404 0.380107861666 19
30 orthogonal 0.45 0.5 0.53321597515 0.55 0 vertical 31.4714579582 0.45821597515 0
31 none 0.55 0.52 0.540408975519 0.55 0 vertical 18.6917488575 0.415408975519 0
32 parallel 0.55 0.5 0.519838525058 0.45 3 horizontal 31.6700470448 0.344838525058 19
33 orthogonal 0.55 0.5 0.518256216516 0.45 3 horizontal 19.9158239365 0.443256216516 19
34 parallel 0.45 0.48 0.50739384826 0.55 1 horizontal 33.6915950775 0.42239384826 19
35 parallel 0.55 0.5 0.516183912876 0.45 0 vertical 60.9086239338 0.426183912876 -19
36 none 0.55 0.52 0.551803855561 0.45 1 horizontal 31.6215181351 0.326803855561 0
37 parallel 0.55 0.5 0.531943114729 0.45 1 vertical 44.1628990173 0.481943114729 19
38 orthogonal 0.55 0.52 0.546320175349 0.45 2 horizontal 43.646982193 0.421320175349 19
39 orthogonal 0.45 0.48 0.505771691616 0.55 1 vertical 19.5676751137 0.445771691616 19
40 orthogonal 0.45 0.5 0.522796700988 0.55 1 horizontal 43.5269901752 0.397796700988 -19
