Trial adaptor_type coaxial_lum test_lum match_lum flank_lum test_loc grating_ori response_time match_initial adaptor_shift
162 orthogonal 0.55 0.5 0.462760419326 0.45 3 horizontal 32.3215520382 0.337760419326 19
163 none 0.45 0.48 0.511255617124 0.55 1 vertical 55.2222778797 0.371255617124 0
164 orthogonal 0.45 0.52 0.548427874314 0.55 0 horizontal 42.6542401314 0.488427874314 0
165 orthogonal 0.55 0.48 0.469313674605 0.45 3 horizontal 39.5722520351 0.334313674605 19
166 none 0.55 0.5 0.508132094809 0.45 0 horizontal 49.3840479851 0.468132094809 0
167 none 0.45 0.5 0.508525887609 0.55 3 vertical 48.5994019508 0.308525887609 0
168 orthogonal 0.55 0.48 0.493056177049 0.45 2 vertical 88.0647130013 0.308056177049 0
169 parallel 0.55 0.48 0.449277347341 0.45 1 horizontal 43.7551560402 0.344277347341 0
170 orthogonal 0.45 0.5 0.499054200162 0.55 1 vertical 96.9703528881 0.424054200162 -19
171 none 0.45 0.5 0.500711478124 0.45 3 vertical 31.6999530792 0.375711478124 0
172 orthogonal 0.45 0.48 0.448636878207 0.55 1 vertical 124.760679007 0.398636878207 -19
173 none 0.45 0.48 0.496201555337 0.55 2 horizontal 66.6065070629 0.461201555337 0
174 orthogonal 0.55 0.48 0.4604224724 0.45 1 horizontal 118.865530968 0.3354224724 0
175 none 0.55 0.5 0.506430708397 0.55 0 horizontal 52.3050069809 0.431430708397 0
176 parallel 0.55 0.5 0.480439482949 0.45 3 vertical 49.313051939 0.300439482949 19
177 parallel 0.55 0.52 0.48262125473 0.45 1 vertical 55.7704389095 0.36762125473 0
178 none 0.45 0.5 0.508168604713 0.55 2 vertical 25.6518220901 0.493168604713 0
179 none 0.55 0.48 0.449673895387 0.55 2 vertical 41.9777979851 0.454673895387 0
180 none 0.55 0.48 0.452907301327 0.55 0 vertical 50.2393050194 0.307907301327 0
181 parallel 0.45 0.52 0.535996786935 0.55 0 horizontal 39.5156359673 0.350996786935 0
182 orthogonal 0.55 0.52 0.548511913498 0.45 3 horizontal 40.0766911507 0.448511913498 0
183 parallel 0.45 0.5 0.539700852663 0.55 1 horizontal 60.8529031277 0.449700852663 0
184 orthogonal 0.55 0.5 0.497369748968 0.45 1 horizontal 49.9138140678 0.482369748968 19
185 parallel 0.55 0.48 0.464178892395 0.45 2 vertical 37.9463131428 0.419178892395 19
186 orthogonal 0.45 0.5 0.526919015346 0.55 2 horizontal 20.3246781826 0.466919015346 0
187 parallel 0.55 0.5 0.47767463918 0.45 1 vertical 43.0167930126 0.43767463918 19
188 none 0.45 0.52 0.53642281702 0.55 2 vertical 31.0254509449 0.48642281702 0
