Trial adaptor_type coaxial_lum test_lum match_lum flank_lum test_loc grating_ori response_time match_initial adaptor_shift
0 parallel 0.55 0.52 0.491371042469 0.45 1 horizontal 25.1281580925 0.316371042469 0
1 none 0.55 0.5 0.470310752978 0.55 1 horizontal 25.1733188629 0.455310752978 0
2 parallel 0.45 0.52 0.521935728092 0.55 1 vertical 37.3543951511 0.346935728092 0
3 parallel 0.55 0.52 0.476530434647 0.45 0 horizontal 12.9724798203 0.401530434647 19
4 orthogonal 0.45 0.5 0.520636123341 0.55 2 horizontal 22.2615361214 0.370636123341 19
5 none 0.55 0.52 0.501376463625 0.45 0 vertical 19.2415130138 0.301376463625 0
6 none 0.45 0.52 0.517239054412 0.55 1 vertical 20.6011359692 0.392239054412 0
7 none 0.45 0.52 0.515768048883 0.55 0 vertical 30.3462059498 0.340768048883 0
8 parallel 0.45 0.48 0.504902870225 0.55 1 horizontal 29.1683349609 0.404902870225 19
9 parallel 0.55 0.48 0.410039910666 0.45 2 horizontal 18.7512509823 0.360039910666 19
10 parallel 0.55 0.52 0.509006837583 0.45 2 vertical 31.1149981022 0.359006837583 0
11 parallel 0.55 0.5 0.463297429918 0.45 1 horizontal 19.1324448586 0.363297429918 0
12 orthogonal 0.55 0.5 0.481441268017 0.45 1 vertical 19.3641850948 0.406441268017 19
13 orthogonal 0.55 0.48 0.477722489423 0.45 2 horizontal 24.8036899567 0.352722489423 0
14 orthogonal 0.55 0.52 0.49747919 0.45 3 vertical 19.3355438709 0.44747919 -19
15 parallel 0.55 0.48 0.479869850752 0.45 0 horizontal 24.9948921204 0.474869850752 19
16 parallel 0.45 0.52 0.520569314169 0.55 3 horizontal 24.6334190369 0.370569314169 -19
17 parallel 0.55 0.52 0.527040553594 0.45 0 vertical 25.3580100536 0.482040553594 0
18 orthogonal 0.55 0.5 0.495488159168 0.45 1 vertical 31.9211258888 0.480488159168 0
19 none 0.55 0.52 0.530697337034 0.45 2 horizontal 42.704531908 0.365697337034 0
20 parallel 0.55 0.52 0.523498320442 0.45 3 horizontal 27.1342589855 0.448498320442 19
21 parallel 0.45 0.48 0.498466027611 0.55 1 vertical 19.5114271641 0.448466027611 0
